Vulnerability Name, total occurence
leaking-list-comprehension,1
repeated-import,4
incomplete-url-substring-sanitization,1
path-injection,4
print-array,10
overflowing-snprintf,10
nested-loops-with-same-variable,7
unguarded-next-in-generator,2
type-mismatch-access,8
str-format,7
database-resource-leak,13
unknown-directive,1
raise-not-implemented,5
missing-equals,18
use-in-own-initializer,1
equals-hash-mismatch,19
redundant-comparison,4
virtual-call-in-constructor,12
uncontrolled-allocation-size,3
should-use-with,10
constant-comparison,64
whitespace-contradicts-precedence,3
incorrect-string-type-conversion,3
non-sync-override,173
local-not-disposed,5
missing-space-in-concatenation,13
multiple-definition,47
similar-function,6
string-concatenation-in-loop,15
reference-equality-of-boxed-types,8
integer-multiplication-cast-to-long,92
duplicate-key-dict-literal,3
insecure-cookie,2
regex,8
unnecessary-pass,2
resource-not-released-in-destructor,17
catch-base-exception,99
logical-operator-applied-to-flag,1
call-to-non-callable,1
wrong-type-format-argument,14
fixme-comment,188
unneeded-defensive-code,4
dereferenced-value-is-always-null,14
comparison-between-incompatible-types,6
local-variable-hides-global-variable,79
stack-trace-exposure,5
misleading-indentation-after-control-statement,6
unused-loop-variable,6
iterator-implements-iterable,1
inconsistent-virtual-inheritance,5
unused-container,29
abstract-to-concrete-cast,5
contradictory-type-checks,16
declaration-hides-parameter,44
evaluation-to-constant,4
ambiguously-signed-bit-field,5
empty-container,1
useless-null-check,63
unimplementable-interface,1
comparison-of-identical-expressions,1
predictable-seed,1
automatic-semicolon-insertion,82
slicing,3
xxe,16
iteration-string-and-sequence,2
assign-where-compare-meant,1
assignment-does-not-return-this,4
import-and-import-from,24
new-free-mismatch,1
missing-variable-declaration,175
string-instead-of-regex,2
input-resource-leak,156
rethrow-no-exception,1
insecure-temporary-file,2
comparison-using-is,5
useless-assignment-to-property,3
call,11
unreachable-statement,23
unused-format-argument,105
misleading-indentation,2
redundant-operation,4
inefficient-output-stream,5
short-global-name,21
unknown-javadoc-parameter,435
implicit-cast-in-compound-assignment,36
parse-error,1
init-calls-subclass,10
inheritance,4
procedure-return-value-used,5
test-for-negative-container-size,1
unsynchronized-getter,3
missing-call-to-init,10
duplicate-html-id,6
missing-header-guard,57
member-const-no-effect,12
useless-expression,182
incorrect-suffix-check,2
truncated-division,10
polluting-import,81
large-parameter,235
inconsistent-equals-and-hashcode,57
equals-on-unrelated-types,6
trivial-conditional,28
redundant-else,10
empty-block,14
unsafe-double-checked-locking-init-order,1
dereferenced-expr-may-be-null,1
unexpected-raise-in-special-method,1
malformed-html-id,2
zipslip,2
bitwise-sign-check,2
import-deprecated-module,4
index-out-of-bounds,36
implicit-operand-conversion,9
use-before-declaration,11
unsafe-double-checked-locking,6
constant-loop-condition,1
modification-of-default-value,2
wrong-number-format-arguments,1
equals-on-arrays,1
duplicate-include-guard,6
duplicate-html-attribute,1
use-of-input,1
useless-comparison-test,1
comparison-precedence,17
not-named-self,1
sync-on-boxed-types,14
inconsistent-equality,7
constant-conditional-expression,1
useless-assignment-to-local,62
unreachable-catch-clause,2
conflicting-attributes,1
non-null-boxed-variable,58
xss,2
unused-local-variable,307
syntax-error,7
output-resource-leak,34
superfluous-trailing-arguments,34
potentially-dangerous-function,11
use-of-apply,1
no-space-for-terminator,3
incomplete-ordering,4
test-equals-none,34
unchecked-cast-in-equals,3
dereferenced-value-may-be-null,381
missing-return,1
duplicate-variable-declaration,3
variable-initialization-conflict,1
concatenated-command-line,4
unsafe-deserialization,1
eval-like-call,13
rule-of-two,89
unused-import,138
dead-code-goto,1
use-of-goto,8
percent-format,1
property-in-old-style-class,13
incomplete-sanitization,11
useless-type-test,1